iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,534,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"OVV","OVINTIV INC","EQUITY","Energy","Equity","345,821,499.28","345,821,499.28","8,449,096.00","40.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.35","0.35"
"HLI","HOULIHAN LOKEY INC CLASS A","EQUITY","Financials","Equity","345,812,593.23","345,812,593.23","1,749,267.00","197.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.35","0.35"
"CACI","CACI INTERNATIONAL INC CLASS A","EQUITY","Industrials","Equity","344,284,624.48","344,284,624.48","715,144.00","481.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"FN","FABRINET","EQUITY","Information Technology","Equity","342,977,503.05","342,977,503.05","1,165,203.00","294.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"EXEL","EXELIXIS INC","EQUITY","Health Care","Equity","342,584,399.13","342,584,399.13","8,868,351.00","38.63","United States","NASDAQ","USD","1.00","USD","-","0.34","0.34"
"ARMK","ARAMARK","EQUITY","Consumer Discretionary","Equity","341,322,680.70","341,322,680.70","8,522,414.00","40.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"MLI","MUELLER INDUSTRIES INC","EQUITY","Industrials","Equity","339,498,472.80","339,498,472.80","3,598,288.00","94.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"WMS","ADVANCED DRAINAGE SYSTEMS INC","EQUITY","Industrials","Equity","338,174,305.04","338,174,305.04","2,295,976.00","147.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"ATI","ATI INC","EQUITY","Industrials","Equity","338,143,666.77","338,143,666.77","4,587,487.00","73.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"WBS","WEBSTER FINANCIAL CORP","EQUITY","Financials","Equity","336,349,456.48","336,349,456.48","5,470,876.00","61.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"DTM","DT MIDSTREAM INC","EQUITY","Energy","Equity","335,857,395.12","335,857,395.12","3,303,732.00","101.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"PEN","PENUMBRA INC","EQUITY","Health Care","Equity","333,406,408.02","333,406,408.02","1,259,373.00","264.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.33","0.33"
"RRX","REGAL REXNORD CORP","EQUITY","Industrials","Equity","332,732,080.64","332,732,080.64","2,157,236.00","154.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.33","0.33"
"WTRG","ESSENTIAL UTILITIES INC","EQUITY","Utilities","Equity","332,297,932.12","332,297,932.12","8,387,126.00","39.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.33","0.33"
"JEF","JEFFERIES FINANCIAL GROUP INC","EQUITY","Financials","Equity","331,393,018.38","331,393,018.38","5,298,897.00","62.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.33","0.33"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","EQUITY","Industrials","Equity","330,826,152.29","330,826,152.29","1,238,539.00","267.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.33","0.33"
"KNSL","KINSALE CAPITAL GROUP INC","EQUITY","Financials","Equity","327,961,488.34","327,961,488.34","720,193.00","455.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.33","0.33"
