iShares S&P 500 Value ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"201,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","159,824,685.96","0.39","159,824,685.96","754,317.00","211.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","157,128,913.28","0.38","157,128,913.28","3,278,984.00","47.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","156,488,432.88","0.38","156,488,432.88","580,619.00","269.52","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","155,716,079.94","0.38","155,716,079.94","1,252,341.00","124.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","149,924,984.80","0.36","149,924,984.80","336,004.00","446.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","149,218,836.26","0.36","149,218,836.26","268,061.00","556.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","148,796,043.34","0.36","148,796,043.34","1,898,393.00","78.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","145,260,131.70","0.35","145,260,131.70","2,037,309.00","71.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","145,068,601.72","0.35","145,068,601.72","493,901.00","293.72","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","144,634,492.80","0.35","144,634,492.80","925,720.00","156.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","144,251,948.83","0.35","144,251,948.83","398,387.00","362.09","United States","NASDAQ","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","139,024,145.25","0.34","139,024,145.25","201,645.00","689.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","137,657,697.28","0.33","137,657,697.28","867,299.00","158.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","132,333,119.04","0.32","132,333,119.04","2,086,944.00","63.41","United States","NASDAQ","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","131,053,718.70","0.32","131,053,718.70","430,602.00","304.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","129,514,281.86","0.31","129,514,281.86","405,226.00","319.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
