iShares S&P 500 Growth ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"549,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","105,992,378.32","0.17","105,992,378.32","205,046.00","516.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","105,350,114.49","0.17","105,350,114.49","282,493.00","372.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","103,784,141.32","0.16","103,784,141.32","631,252.00","164.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","102,200,542.56","0.16","102,200,542.56","436,158.00","234.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","99,576,207.59","0.16","99,576,207.59","339,029.00","293.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","98,139,881.60","0.16","98,139,881.60","466,112.00","210.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","97,802,402.40","0.15","97,802,402.40","1,399,176.00","69.90","United States","NASDAQ","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","95,912,801.46","0.15","95,912,801.46","93,861.00","1,021.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","95,608,024.92","0.15","95,608,024.92","166,324.00","574.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","94,801,735.84","0.15","94,801,735.84","417,592.00","227.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPRT","COPART INC","Industrials","Equity","92,582,527.68","0.15","92,582,527.68","1,890,983.00","48.96","United States","NASDAQ","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","92,479,128.12","0.15","92,479,128.12","314,844.00","293.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","90,778,308.17","0.14","90,778,308.17","640,321.00","141.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","90,188,686.98","0.14","90,188,686.98","687,309.00","131.22","United States","NASDAQ","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","89,128,343.26","0.14","89,128,343.26","172,726.00","516.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","88,853,252.79","0.14","88,853,252.79","219,407.00","404.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","88,700,272.10","0.14","88,700,272.10","236,471.00","375.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","86,916,808.00","0.14","86,916,808.00","102,982.00","844.00","United States","NASDAQ","USD","1.00","USD","-"
"DAL","DELTA AIR LINES INC","Industrials","Equity","86,465,876.11","0.14","86,465,876.11","1,401,619.00","61.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","85,007,813.34","0.13","85,007,813.34","829,021.00","102.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","78,127,974.96","0.12","78,127,974.96","331,163.00","235.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","77,871,729.65","0.12","77,871,729.65","1,364,495.00","57.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","77,604,927.25","0.12","77,604,927.25","98,675.00","786.47","United States","NASDAQ","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","76,134,341.88","0.12","76,134,341.88","466,338.00","163.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","75,428,201.85","0.12","75,428,201.85","265,845.00","283.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","75,009,108.72","0.12","75,009,108.72","247,416.00","303.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","74,943,777.10","0.12","74,943,777.10","802,310.00","93.41","United States","NASDAQ","USD","1.00","USD","-"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","74,084,135.70","0.12","74,084,135.70","52,323.00","1,415.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UAL","UNITED AIRLINES HOLDINGS INC","Industrials","Equity","72,300,198.40","0.11","72,300,198.40","702,080.00","102.98","United States","NASDAQ","USD","1.00","USD","-"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","72,025,273.36","0.11","72,025,273.36","367,964.00","195.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","71,235,072.90","0.11","71,235,072.90","222,714.00","319.85","United States","NASDAQ","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","70,854,588.36","0.11","70,854,588.36","1,406,124.00","50.39","United States","NASDAQ","USD","1.00","USD","-"
"CCL","CARNIVAL CORP","Consumer Discretionary","Equity","70,491,199.50","0.11","70,491,199.50","2,252,115.00","31.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IR","INGERSOLL RAND INC","Industrials","Equity","69,942,816.02","0.11","69,942,816.02","867,454.00","80.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","66,003,723.72","0.10","66,003,723.72","665,226.00","99.22","United States","NASDAQ","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","65,850,837.48","0.10","65,850,837.48","766,242.00","85.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","64,341,934.02","0.10","64,341,934.02","1,860,669.00","34.58","United States","NASDAQ","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","63,312,158.23","0.10","63,312,158.23","235,003.00","269.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","63,025,511.50","0.10","63,025,511.50","620,941.00","101.50","United States","NASDAQ","USD","1.00","USD","-"
"NRG","NRG ENERGY INC","Utilities","Equity","61,074,474.78","0.10","61,074,474.78","420,942.00","145.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
